idx	index	artists	name	danceability
16321	16321	['Ofenbach']	Be Mine	0.779
41247	41247	['Theory of a Deadman']	Hallelujah	0.285
38188	38188	['Lupe Fiasco', 'Bishop G', 'Nikki Jean']	Little Weapon (feat. Bishop G & Nikki Jean)	0.723
30766	30766	['Mike Perry', 'SHY Martin']	The Ocean (feat. Shy Martin)	0.632
32968	32968	['Darius Rucker']	If I Told You	0.532
26993	26993	['NF']	Time	0.677
5513	5513	['Sanctus Real']	Commitment	0.421
30913	30913	['Playboi Carti']	Yah Mean	0.776
8048	8048	['Trippie Redd']	In Too Deep	0.607
30573	30573	['Samuel E. Wright']	Kiss the Girl - Remastered 2014	0.670
7902	7902	['Lil Uzi Vert']	Original Uzi (4 of Us)	0.810
30970	30970	['Mac Miller']	Hurt Feelings	0.690
4770	4770	['Audioslave']	Your Time Has Come	0.297
28665	28665	['DNCE']	Toothbrush	0.556
36295	36295	['John Mayer']	Stop This Train - Live at the Nokia Theatre, L...	0.434
30032	30032	['High School Musical Cast']	High School Musical - Original Version	0.529
33425	33425	['Erykah Badu']	...& On	0.780
3399	3399	['Machine Gun Kelly', 'Ester Dean']	Invincible	0.479
18227	18227	['Seinabo Sey']	Still	0.404
3693	3693	['Tyler Farr']	Better in Boots	0.614
1643	1643	['Brent Faiyaz']	Insecure	0.436
10686	10686	['Built To Spill']	The Weather	0.340
16514	16514	['The Chainsmokers']	Beach House	0.400
31770	31770	['Bobby Brown']	Every Little Step	0.470
37738	37738	['Deitrick Haddon']	Sinner's Prayer	0.757
37640	37640	['David Lee Garza']	Te Quiero, Te Amo	0.740
8980	8980	['Jeezy', 'Trick Daddy', 'Young Buck', "Lil' W...	Last Of A Dying Breed	0.760
35598	35598	['Gorillaz']	Re-Hash	0.837
5838	5838	['Mac Miller']	Soulmate	0.606
40082	40082	['10 Ft. Ganja Plant']	Blood Money	0.789
5725	5725	['Jess Glynne']	Hold My Hand	0.642
38391	38391	['Phineas', 'Sherman']	Ain't Got Rhythm	0.740
5769	5769	['A$AP Rocky', 'Lil Wayne']	M'$ (feat. Lil Wayne)	0.779
5881	5881	['Kevin Morby']	Beautiful Strangers	0.826
4235	4235	['Three 6 Mafia']	Sleep	0.823
40267	40267	['Led Zeppelin']	Ramble On - 2007 Remaster	0.451
37768	37768	['Avenged Sevenfold']	Second Heartbeat	0.294
11495	11495	['Gilberto Santa Rosa']	La Agarro Bajando	0.811
30597	30597	['Lake Street Dive']	You Go Down Smooth	0.314
41320	41320	['The Score']	Revolution	0.575
41118	41118	['Kygo', 'Ella Henderson']	Here for You (feat. Ella Henderson)	0.680
7382	7382	['The Submarines', 'Amp Live']	1940 - AmpLive Remix	0.625
896	896	['Theory of a Deadman']	So Happy	0.462
38176	38176	['Mike Jones']	Mr. Jones	0.653
37454	37454	['Anuel AA']	El Manual	0.843
33349	33349	['Daddy Yankee', 'Sech']	Definitivamente	0.813
38154	38154	['Snow Patrol', 'Martha Wainwright']	Set The Fire To The Third Bar	0.535
18745	18745	['Eslabon Armado']	Una Cervecita	0.733
35676	35676	['Erik Satie', 'Jean-Yves Thibaudet']	3 Gymnopédies: No.1 Lent et douloureux	0.590
17008	17008	['Slightly Stoopid', 'Iman']	World Goes Round - feat. I-Man	0.732
39197	39197	['Jack Johnson']	Sunsets For Somebody Else	0.696
17797	17797	['Goodwill', 'Hook N Sling']	Take You Higher - Radio Edit	0.674
9630	9630	['ZZ Ward']	Put the Gun Down	0.764
7435	7435	['Alex Turner']	Hiding tonight	0.543
24711	24711	['DJ Khaled', 'Justin Bieber', 'Quavo', 'Chanc...	I'm the One (feat. Justin Bieber, Quavo, Chanc...	0.599
17437	17437	['Antônio Carlos Jobim']	Samba De Uma Nota Só	0.640
29023	29023	['Cuco', 'Jean Carter']	Bossa No Sé (feat. Jean Carter)	0.826
25979	25979	['Dave Matthews Band']	You & Me	0.652
19829	19829	['Nas & Damian "Jr. Gong" Marley']	As We Enter	0.915
12300	12300	['Takeoff']	Last Memory	0.854
26434	26434	['Sturgill Simpson']	You Can Have the Crown	0.324
11561	11561	['Dread Mar I']	Arbol Sin Hojas	0.770
26253	26253	['Big Sean', 'Chris Brown']	My Last	0.387
12142	12142	['ILLENIUM', 'Quinn XCII']	With You	0.676
6278	6278	['Surfaces']	Good Day	0.906
38006	38006	['Mac Dre']	Thizzle Dance	0.770
10091	10091	['Toby Fox']	Shop	0.696
737	737	['Cornell Campbell']	The Sun Stop Shining	0.637
29807	29807	['Daughtry']	It's Not Over	0.423
31346	31346	['Shannon']	Give Me Tonight	0.697
23500	23500	['Nickelback']	Savin' Me	0.441
41186	41186	['DEAN', 'Gaeko']	D (Half Moon)	0.512
27390	27390	['King Geedorah']	Fazers	0.423
8169	8169	['Normani', '6LACK']	Waves (feat. 6LACK)	0.578
36926	36926	['Mystery Skulls']	Ghost	0.667
38806	38806	['Drake']	Connect	0.683
19217	19217	['Exitos Sonideros']	En Realidad	0.646
4653	4653	['Lamb of God']	Break You	0.301
36357	36357	['Kid Cudi']	Enter Galactic (Love Connection Part I)	0.750
1087	1087	['Tight Fit']	The Lion Sleeps Tonight	0.637
33326	33326	['Wiz Khalifa', 'Megan Thee Stallion', 'Mustar...	Y U Mad (feat. Megan Thee Stallion, Ty Dolla $...	0.898
5407	5407	['Rob Bailey & The Hustle Standard']	Hold Strong	0.631
23067	23067	['Jimmy Eat World']	Bleed American	0.438
29050	29050	['Bryce Vine']	La La Land	0.726
36478	36478	['Jack Johnson']	Only The Ocean	0.617
32554	32554	['Youngblood Hawke']	We Come Running	0.560
37080	37080	['Mike Faist', 'Ben Platt', 'Will Roland']	Sincerely, Me	0.677
38036	38036	['Sufjan Stevens']	Concerning the UFO sighting near Highland, Ill...	0.452
11418	11418	['Norah Jones']	Waiting	0.675
4742	4742	['Jesse L. Martin', 'Wilson Jermaine Heredia',...	Today 4 U	0.724
39124	39124	['Rebelution']	Pretty Lady	0.794
9378	9378	['Suicide Silence']	Disengage	0.298
5975	5975	['Future']	I'm so Groovy	0.938
31675	31675	['Ashanti']	Only U - No Intro	0.600
36441	36441	['Ashana']	Soulmerge	0.132
38384	38384	['Blockhead']	The Music Scene	0.690
7975	7975	['Childish Gambino']	Baby Boy	0.535
8435	8435	['Leo Sayer']	When I Need You - Remastered	0.605
40194	40194	['Little People']	Moon	0.714
24098	24098	['JAY-Z', 'Kanye West', 'Otis Redding']	Otis	0.755
28232	28232	['Anthony Hamilton']	Best of Me	0.742
9183	9183	['Milly Quezada', 'Los Vecinos']	Entre Tu Cuerpo y el Mio	0.609
18328	18328	['Logic']	Slave II	0.515
19921	19921	['Stephen Marley', 'Damian Marley', 'Buju Bant...	Jah Army	0.659
11442	11442	['Bat For Lashes']	Daniel	0.593
7876	7876	['Ellie Goulding']	Something In The Way You Move	0.658
30569	30569	['Witt Lowry']	Kindest Regards	0.664
14051	14051	['Royal Blood']	Ten Tonne Skeleton	0.488
38497	38497	['Yelawolf']	Trunk Muzik	0.662
7035	7035	['Hot 8 Brass Band']	Sexual Healing	0.559
33758	33758	['Robert Earl Keen']	The Front Porch Song	0.658
855	855	['One Day As A Lion']	Wild International	0.408
10978	10978	["Destiny's Child"]	Is She The Reason	0.464
4555	4555	['Coheed and Cambria']	Three Evils (Embodied in Love and Shadow)	0.375
24441	24441	['Austin Mahone']	All I Ever Need	0.708
27418	27418	['Lumidee']	Never Leave You (Uh Oooh, Uh Oooh)	0.811
20000	20000	['Sammy Adams']	Summertime	0.523
19967	19967	['Florida Georgia Line', 'Jaren Johnston']	Party People	0.480
27675	27675	['Valentín Elizalde']	Ebrio De Amor	0.331
3069	3069	['Christopher Tin', 'Soweto Gospel Choir']	Baba Yetu	0.358
21808	21808	['Flo Rida']	Right Round	0.720
24668	24668	['Harry Styles']	Sweet Creature	0.427
21515	21515	['Wolfmother']	Joker And The Thief	0.264
31302	31302	['Donnie McClurkin']	Great Is Your Mercy - Live	0.354
11520	11520	['Ascend The Hill']	Be Thou My Vision	0.463
13657	13657	['Big Sean']	I Do It	0.548
33456	33456	['Creed']	Weathered	0.417
475	475	['Rise Against']	State Of The Union	0.591
24305	24305	['Lil Wayne', '2 Chainz']	Rich As Fuck	0.612
21055	21055	['Brad Paisley']	I'm Gonna Miss Her	0.559
20737	20737	['Ari Lennox']	Up Late	0.700
34329	34329	['The Brobecks']	Love At First Sight	0.440
20709	20709	['Ali Gatie']	Used to You	0.505
14667	14667	['Aesop Rock']	I'll Be Ok (feat. Slug)	0.629
11005	11005	['Brandon Jenkins']	Finger on the Trigger	0.595
